slug,name,channel
B3Fbujmgo60,Ruby on Rails Crash Course,
kgrIhRQ9sh8,This Week in Svelte (2023 Dec 8),
Qd1bUA-Ddw4,Preview the EXCELLENT new TABLE EDITOR and more in Obsidian 1.5,
XnnuA3H_fjg,15 DevOps Center Tips for Developers,Salesforce Developers
7MR1qmwv-pM,How To Use Chargentâ€™s Take Payment Component for Salesforce Communities,Chargent
86Oygl7rK0w,How To Use Chargent Payment Request for Salesforce,Chargent
bt-MNTJOL04,How To Take Payments Anywhere in Salesforce with Chargent Payment Console,Chargent
5oGQ3kQQH94,Experienc Cloud - Zero to Hero | Salesforce Communities,Salesforce Makes Sense
zPK-kGYprnE,20+ AMAZING VS Code Tips I Wish I Knew Earlier,James Q Quick
2HwKr3s9i0g,Jumpstart Your Salesforce Development with Code Builder,Salesforce Developers
Wmt8OGaUk9E,codeLive: Salesforce Developer Tools from Scratch,Salesforce Developers
rvJF5tb8cdk,Tips & Tricks: Get the Most Out of GitHub CoPilot | DevReach 2023,Progress Telerik
t4-OEhvXwLE,Working with Vue 3.0 and ASP.NET Minimal API,NDC Conferences
SZVCJRUADc4,GitHub Copilot just got exponentially smarter,Visual Studio Code
PKffm2uI4dk,Sad Cat Diary,Ze Frank
dfgtKb-VpRk,"Resisting Complexity - 2018 Laracon US",Adam Wathan
MF0jFKvS4SI,Cruddy by Design - 2017 Laracon US,Adam Wathan
IiXaZGZqpVI&t=196s,"Steven Strogatz The Science of Sync",Patterns Remonstrator
pQgxiQAMTTo,The Map of Engineering,Domain of Science
tfDCNpaPBiA,Saul Bass: On Making Money vs Quality Work,archieboston
3ms0lOgrHas,"Booster Leadership, 2018-11 Time Leadership",Choose Booster
n9fCQKd-p9w,Gravy Drip,Dad Lifer
9Yrd4aZkse8,Mocking Axios in Jest + Testing Async Functions,Leigh Halliday
bTqVqk7FSmY,View From A Blue Moon - Official Trailer (4K Ultra HD) - John Florence,Brain Farm
dFoLwGNWl98,Design: Case Study - 2016 Laracon US,Ryan Singer
gJlB4QdIpVY,Introducing Experience Cloud LWR sites,Salesforce Developers
Kz74eFBveFM,Count It Higher Great Music Videos From Sesame Street,Sesame Street
pI5QX13eluQ,Sesame Street: Do-op Hop With Kermit,Sesame
